Date_Time,Test_Time(s),Step_Time(s),Step_Index,Voltage(V),Current(A),Surface_Temp(degC)
2019-09-05 02:01:24.274,11704.538368,1956.0006,5,3.123419761657715,-2.5003466606140137,25.455995559692383
2019-09-05 02:01:25.275,11705.538967999999,1957.0012,5,3.1233832836151123,-2.500359058380127,25.528547286987305
2019-09-05 02:01:26.274,11706.538168,1958.0004,5,3.1234378814697266,-2.5003600120544434,25.528547286987305
2019-09-05 02:01:27.275,11707.539168,1959.0014,5,3.1233553886413574,-2.500366687774658,25.528547286987305
2019-09-05 02:01:28.275,11708.538768,1960.001,5,3.123384952545166,-2.500359058380127,25.50001335144043
2019-09-05 02:01:29.274,11709.538168,1961.0004,5,3.1232869625091553,-2.50034761428833,25.50001335144043
2019-09-05 02:01:30.274,11710.538568,1962.0008,5,3.1233675479888916,-2.500357151031494,25.50001335144043
2019-09-05 02:01:31.275,11711.538568,1963.0008,5,3.1232399940490723,-2.500349521636963,25.511179760932922
2019-09-05 02:01:32.275,11712.538868,1964.0011,5,3.1231558322906494,-2.500357151031494,25.511180877685547
2019-09-05 02:01:33.275,11713.538868,1965.0011,5,3.12321138381958,-2.5003719329833984,25.511180877685547
2019-09-05 02:01:34.275,11714.538868,1966.0011,5,3.123134136199951,-2.500363826751709,25.50001335144043
2019-09-05 02:01:35.275,11715.538967999999,1967.0012,5,3.1230602264404297,-2.5003457069396973,25.50001335144043
2019-09-05 02:01:36.275,11716.538967999999,1968.0012,5,3.1231653690338135,-2.500375747680664,25.528547286987305
2019-09-05 02:01:37.274,11717.538268,1969.0005,5,3.122964859008789,-2.500370502471924,25.528547286987305
2019-09-05 02:01:38.274,11718.537967999999,1970.0002,5,3.1231253147125244,-2.500361919403076,25.528547286987305
2019-09-05 02:01:39.274,11719.537967999999,1971.0002,5,3.1230177879333496,-2.500363826751709,25.53072166442871
2019-09-05 02:01:40.274,11720.538168,1972.0004,5,3.1227807998657227,-2.500366687774658,25.53072166442871
